label,baseline,checkpoint,group,n,base_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,base_recency_pick_pct_among_available,label_recency_pick_pct_among_available,delta_recency_pick_pct_among_available,base_recency_not_gold_pick_pct,label_recency_not_gold_pick_pct,delta_recency_not_gold_pick_pct
binding_ep25_alpha0p75,chck82,eval,reported_numops_2,1217,22.67871815940838,22.35004108463435,-0.3286770747740313,33.48623853211009,33.48623853211009,0.0,35.54216867469879,33.433734939759034,-2.1084337349397586
binding_ep25_alpha0p75,chck82,eval,reported_numops_3,1240,28.548387096774192,28.306451612903224,-0.24193548387096797,36.69467787114846,39.075630252100844,2.3809523809523867,34.82428115015974,36.42172523961661,1.5974440894568716
binding_ep25_alpha0p75,chck82,eval,reported_numops_4,1175,31.148936170212767,32.340425531914896,1.1914893617021285,36.627906976744185,38.22674418604651,1.5988372093023244,34.95145631067961,32.52427184466019,-2.427184466019419
binding_ep25_alpha0p75,chck82,eval,reported_numops_5,333,34.83483483483484,31.23123123123123,-3.603603603603606,38.83495145631068,40.29126213592233,1.4563106796116543,21.818181818181817,40.0,18.181818181818183
binding_ep25_alpha0p75,chck82,eval,stale_available_not_gold,1221,27.436527436527438,29.156429156429155,1.719901719901717,34.948604992657856,36.41703377386197,1.4684287812041106,32.0,29.818181818181817,-2.1818181818181834
binding_ep25_alpha0p75,chck82,eval,total_ops_0,304,35.19736842105263,29.93421052631579,-5.263157894736839,nan,nan,nan,nan,nan,nan
binding_ep25_alpha0p75,chck82,eval,total_ops_1,331,33.53474320241692,26.88821752265861,-6.646525679758309,13.66906474820144,15.827338129496402,2.158273381294963,11.764705882352942,14.705882352941176,2.9411764705882337
binding_ep25_alpha0p75,chck82,eval,total_ops_10,733,26.330150068212824,25.37517053206003,-0.9549795361527949,38.17204301075269,40.32258064516129,2.1505376344086002,39.39393939393939,41.81818181818182,2.424242424242429
binding_ep25_alpha0p75,chck82,eval,total_ops_11,828,26.207729468599034,26.08695652173913,-0.1207729468599048,35.294117647058826,38.68778280542986,3.3936651583710358,35.84905660377358,37.264150943396224,1.415094339622641
binding_ep25_alpha0p75,chck82,eval,total_ops_12,919,27.20348204570185,25.680087051142547,-1.523394994559304,38.513513513513516,38.513513513513516,0.0,35.294117647058826,38.23529411764706,2.941176470588232
binding_ep25_alpha0p75,chck82,eval,total_ops_2,339,30.088495575221238,26.253687315634217,-3.834808259587021,19.84732824427481,22.137404580152673,2.2900763358778633,19.696969696969695,21.21212121212121,1.5151515151515156
binding_ep25_alpha0p75,chck82,eval,total_ops_3,358,28.491620111731844,29.88826815642458,1.3966480446927356,20.0,25.0,5.0,15.463917525773196,18.556701030927837,3.0927835051546406
binding_ep25_alpha0p75,chck82,eval,total_ops_4,369,28.726287262872628,24.390243902439025,-4.336043360433603,24.56140350877193,29.82456140350877,5.263157894736839,26.436781609195403,29.885057471264368,3.4482758620689644
binding_ep25_alpha0p75,chck82,eval,total_ops_5,393,27.480916030534353,21.374045801526716,-6.106870229007637,32.402234636871505,31.843575418994412,-0.5586592178770928,31.3953488372093,32.55813953488372,1.1627906976744207
binding_ep25_alpha0p75,chck82,eval,total_ops_6,446,28.026905829596412,26.905829596412556,-1.1210762331838566,28.88888888888889,40.0,11.11111111111111,28.0,33.0,5.0
binding_ep25_alpha0p75,chck82,eval,total_ops_7,508,25.984251968503937,24.606299212598426,-1.3779527559055111,31.417624521072796,30.268199233716476,-1.149425287356319,27.19298245614035,31.57894736842105,4.385964912280702
binding_ep25_alpha0p75,chck82,eval,total_ops_8,592,27.7027027027027,23.64864864864865,-4.054054054054053,37.62057877813505,32.47588424437299,-5.144694533762056,37.5,30.625,-6.875
binding_ep25_alpha0p75,chck82,eval,total_ops_9,660,26.363636363636363,24.09090909090909,-2.2727272727272734,38.01169590643275,44.44444444444444,6.432748538011694,37.8698224852071,46.15384615384615,8.284023668639051
binding_ep25_alpha0p75,chck82,eval,type_ambiref,2315,25.91792656587473,24.70842332613391,-1.209503239740819,34.790528233151186,37.7959927140255,3.0054644808743163,34.81624758220503,38.49129593810445,3.6750483558994205
binding_ep25_alpha0p75,chck82,eval,type_move_contents,2227,29.636281993713517,25.19083969465649,-4.445442299057028,29.81783317353787,31.543624161073826,1.7257909875359552,26.789366053169733,27.811860940695297,1.0224948875255642
binding_ep25_alpha0p75,chck82,eval,type_regular,2238,28.194816800714925,26.76496872207328,-1.429848078641644,33.23863636363637,35.416666666666664,2.1780303030302974,32.758620689655174,35.05747126436781,2.298850574712638
binding_ep25_alpha1p00,chck82,eval,ALL,6780,27.89085545722714,22.47787610619469,-5.412979351032451,32.655614638723804,31.154207069127306,-1.5014075695964983,31.544502617801047,30.301047120418847,-1.2434554973822003
binding_ep25_alpha1p00,chck82,eval,lastop_affects_query,1850,30.37837837837838,28.81081081081081,-1.5675675675675684,32.5945945945946,31.2972972972973,-1.2972972972972983,22.65193370165746,25.414364640883978,2.762430939226519
binding_ep25_alpha1p00,chck82,eval,lastop_not_query,4930,26.95740365111562,20.101419878296145,-6.855983772819474,32.73942093541203,30.957683741648108,-1.7817371937639201,32.73942093541203,30.957683741648108,-1.7817371937639201
binding_ep25_alpha1p00,chck82,eval,lastop_recency_gold,1850,30.37837837837838,28.81081081081081,-1.5675675675675684,32.5945945945946,31.2972972972973,-1.2972972972972983,22.65193370165746,25.414364640883978,2.762430939226519
binding_ep25_alpha1p00,chck82,eval,lastop_recency_not_gold,1347,24.72160356347439,18.93095768374165,-5.79064587973274,32.73942093541203,30.957683741648108,-1.7817371937639201,32.73942093541203,30.957683741648108,-1.7817371937639201
binding_ep25_alpha1p00,chck82,eval,lastop_recency_not_gold_available,1528,24.541884816753928,20.418848167539267,-4.1230366492146615,34.29319371727749,34.031413612565444,-0.26178010471204516,31.544502617801047,30.301047120418847,-1.2434554973822003
binding_ep25_alpha1p00,chck82,eval,rel1_postrel_ops0,345,19.71014492753623,20.869565217391305,1.159420289855074,20.28985507246377,22.89855072463768,2.6086956521739104,8.695652173913043,30.434782608695652,21.73913043478261
binding_ep25_alpha1p00,chck82,eval,rel1_postrel_ops_gt0,978,15.74642126789366,16.56441717791411,0.8179959100204481,33.673469387755105,31.972789115646258,-1.7006802721088476,33.673469387755105,31.972789115646258,-1.7006802721088476
binding_ep25_alpha1p00,chck82,eval,rel1_stale_available_not_gold,16,31.25,50.0,18.75,57.142857142857146,57.142857142857146,0.0,16.666666666666668,16.666666666666668,0.0
