overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
low,ALL,HMminusR,gain_T_vs_U,400,0.21484263064271847,0.05484085738562496,0.565
low,ALL,HMminusR,gain_T_vs_N,400,0.09829808352689723,0.05086047334014208,0.5375
low,ALL,HMminusR,gain_U_vs_N,400,-0.11654454711582124,0.030471033840177426,0.4175
low,nonoverlap,RminusC,gain_T_vs_U,400,-0.12040599761297927,0.0576775466520099,0.445
low,nonoverlap,RminusC,gain_T_vs_N,400,-0.008868260165521273,0.05863300670743356,0.4975
low,nonoverlap,RminusC,gain_U_vs_N,400,0.111537737447458,0.03439339393873459,0.53
low,nonoverlap,VminusC,gain_T_vs_U,400,0.126869086852336,0.054034743065865656,0.5425
low,nonoverlap,VminusC,gain_T_vs_N,400,0.19256247606147858,0.053653805566974466,0.61
low,nonoverlap,VminusC,gain_U_vs_N,400,0.06569338920914257,0.032060903202087626,0.5175
low,nonoverlap,HVminusC,gain_T_vs_U,400,0.04277461844438223,0.05275262695511159,0.515
low,nonoverlap,HVminusC,gain_T_vs_N,400,0.04048233859532048,0.05249236256454237,0.515
low,nonoverlap,HVminusC,gain_U_vs_N,400,-0.0022922798490617445,0.030680525014067768,0.5025
low,nonoverlap,HVminusV,gain_T_vs_U,400,-0.08409446840795376,0.052887703381250165,0.4775
low,nonoverlap,HVminusV,gain_T_vs_N,400,-0.15208013746615812,0.05189030167412979,0.455
low,nonoverlap,HVminusV,gain_U_vs_N,400,-0.06798566905820433,0.031131624407439405,0.46
low,nonoverlap,VminusHV,gain_T_vs_U,400,0.08409446840795376,0.052887703381250165,0.5225
low,nonoverlap,VminusHV,gain_T_vs_N,400,0.15208013746615812,0.05189030167412979,0.545
low,nonoverlap,VminusHV,gain_U_vs_N,400,0.06798566905820433,0.031131624407439405,0.54
low,nonoverlap,HMminusC,gain_T_vs_U,400,0.004959363088128145,0.06176949220457408,0.505
low,nonoverlap,HMminusC,gain_T_vs_N,400,-0.029475539831522225,0.05832207123878572,0.4975
low,nonoverlap,HMminusC,gain_U_vs_N,400,-0.034434902919650394,0.037296247255301736,0.455
low,nonoverlap,HMminusHV,gain_T_vs_U,400,-0.03781525535625407,0.05284460219636611,0.5025
low,nonoverlap,HMminusHV,gain_T_vs_N,400,-0.0699578784268427,0.051606438646887784,0.48
low,nonoverlap,HMminusHV,gain_U_vs_N,400,-0.032142623070588634,0.03211038448304614,0.495
low,nonoverlap,HVminusHM,gain_T_vs_U,400,0.03781525535625407,0.05284460219636611,0.4975
