target_word,n_contexts,coherent86,dense_seed62064,dense_seed62065,d64_minus_coherent,d65_minus_coherent,d65_minus_d64,cdi_final_30m,cdi_mean_16_30m,cdi_first_month_ge_0p5
banana,18,11.738340377807617,11.73143000072903,11.720173199971518,-0.006910377078586155,-0.01816717783610026,-0.011256800757514106,0.95,0.792,16.0
basement,20,9.654625010490417,9.644523024559021,9.638254928588868,-0.010101985931396485,-0.016370081901550294,-0.006268095970153808,0.22,0.12466666666666668,
basket,20,9.625999069213867,9.884965467453004,9.898317813873291,0.25896639823913575,0.27231874465942385,0.013352346420288087,0.62,0.32933333333333337,27.0
bat,20,9.218279576301574,9.43263394832611,9.43901855945587,0.21435437202453614,0.22073898315429688,0.006384611129760742,0.53,0.2966666666666667,28.0
bath,20,8.718112015724182,8.837899482250213,8.83334264755249,0.11978746652603149,0.1152306318283081,-0.004556834697723389,0.83,0.6926666666666667,19.0
bathroom,20,7.577038740459829,7.785787559580058,7.794206404220313,0.2087488191202283,0.21716766376048327,0.008418844640254974,0.79,0.442,24.0
bathtub,4,11.666788578033447,11.582320928573608,11.571738243103027,-0.08446764945983887,-0.09505033493041992,-0.010582685470581055,0.73,0.5,23.0
beach,20,6.88911877758801,7.123814471065998,7.11048911139369,0.23469569347798824,0.22137033380568027,-0.013325359672307968,0.65,0.312,27.0
beads,11,7.803793346678669,7.950960541313345,7.9580567946488205,0.14716719463467598,0.1542634479701519,0.007096253335475922,0.33,0.17733333333333334,
beans,20,9.149515008926391,9.309938430786133,9.293107962608337,0.1604234218597412,0.1435929536819458,-0.01683046817779541,0.6,0.36733333333333335,26.0
bear,20,9.244984769821167,9.417271280288697,9.421495056152343,0.1722865104675293,0.17651028633117677,0.004223775863647461,0.83,0.6266666666666667,21.0
bed,20,7.656642323732376,8.103396856784821,8.123134297132491,0.44675453305244445,0.46649197340011594,0.019737440347671508,0.85,0.606,21.0
bedroom,20,8.904874742031097,9.238978338241576,9.243454843759537,0.33410359621047975,0.33858010172843933,0.004476505517959595,0.69,0.3526666666666667,26.0
bee,15,10.242954444885253,10.353217474619548,10.362858422597249,0.11026302973429362,0.11990397771199544,0.009640947977701823,0.81,0.5526666666666666,23.0
belt,20,10.102841514348984,10.349410143494605,10.340655428171157,0.24656862914562225,0.23781391382217407,-0.008754715323448181,0.48,0.26799999999999996,28.0
bench,20,9.38083827495575,9.434450507164001,9.436195230484008,0.05361223220825195,0.055356955528259276,0.0017447233200073241,0.37,0.14866666666666667,
better,20,6.748954975605011,6.832948291301728,6.8304773509502414,0.08399331569671631,0.0815223753452301,-0.002470940351486206,0.58,0.26066666666666666,28.0
bib,3,8.353740056355795,8.346527735392252,8.344191551208496,-0.007212320963541667,-0.009548505147298178,-0.0023361841837565103,0.58,0.4086666666666667,25.0
bicycle,17,10.494236160727109,10.663236533894258,10.678685104145723,0.16900037316715016,0.184448943418615,0.015448570251464844,0.82,0.5193333333333333,23.0
big,20,7.234257555007934,7.470257210731506,7.477414870262146,0.2359996557235718,0.24315731525421141,0.007157659530639649,0.79,0.49466666666666664,23.0
bird,20,7.267125477641821,7.540737297013402,7.5720718439668415,0.2736118193715811,0.3049463663250208,0.031334546953439714,0.87,0.7186666666666667,19.0
bite,20,9.157267475128174,9.380747842788697,9.363039898872376,0.22348036766052246,0.20577242374420165,-0.0177079439163208,0.75,0.48333333333333334,23.0
black,20,6.776317855715751,7.010031805932522,7.041095247864723,0.23371395021677016,0.26477739214897156,0.031063441932201386,0.69,0.3333333333333333,27.0
blanket,9,10.111997127532959,10.418508370717367,10.41544500986735,0.30651124318440753,0.3034478823343913,-0.003063360850016276,0.83,0.5886666666666667,22.0
block,20,8.833896708488464,8.836430406570434,8.840901684761047,0.002533698081970215,0.007004976272583008,0.004471278190612793,0.75,0.526,23.0
blow,20,9.728464317321777,9.72185938358307,9.720129489898682,-0.006604933738708496,-0.008334827423095704,-0.001729893684387207,0.68,0.402,25.0
blue,20,8.805824685096741,9.107467365264892,9.118444418907165,0.3016426801681519,0.3126197338104248,0.010977053642272949,0.82,0.4953333333333333,23.0
boat,20,8.126354344189167,8.417931850999594,8.440163188427686,0.2915775068104267,0.3138088442385197,0.022231337428092957,0.84,0.58,22.0
book,20,6.049354995414615,6.0387406880036,6.057809231244027,-0.010614307411015034,0.008454235829412937,0.01906854324042797,0.91,0.7886666666666666,16.0
boots,20,5.83377391807735,5.714948657155037,5.697881916165352,-0.11882526092231274,-0.1358920019119978,-0.01706674098968506,0.76,0.5233333333333333,23.0
bottle,20,9.34935462474823,9.863258743286133,9.848310542106628,0.5139041185379029,0.49895591735839845,-0.014948201179504395,0.79,0.6093333333333334,21.0
bottom,20,5.6831118822097775,5.984288215637207,5.954703390598297,0.3011763334274292,0.2715915083885193,-0.029584825038909912,0.75,0.5066666666666666,23.0
