checkpoint,seed,probe_family,span_len,contrast,n,delta_copy_gain_a_minus_b,copy_gain_a,copy_gain_b,delta_repeated_nll_a_minus_b,delta_unrepeated_nll_a_minus_b
chck_100M,43022,random_token_span,8,RminusV,700,0.32164598718618187,9.68979829076345,9.368152303577268,0.07840895671597004,0.4000549439021519
chck_100M,43022,random_token_span,8,CminusV,700,0.07273942580845727,9.440891729385726,9.368152303577268,0.10253223445133441,0.17527166025979035
chck_100M,43022,random_token_span,8,VminusC,700,-0.07273942580845727,9.368152303577268,9.440891729385726,-0.10253223445133441,-0.17527166025979035
chck_100M,43022,random_token_span,8,VminusR,700,-0.32164598718618187,9.368152303577268,9.68979829076345,-0.07840895671597004,-0.4000549439021519
chck_100M,43022,random_token_span,ALL,RminusC,2100,-0.11345196518492617,5.730659126833392,5.844111092018318,0.26790786594485105,0.154455900759924
chck_100M,43022,random_token_span,ALL,RminusV,2100,-0.10303643794353334,5.730659126833392,5.833695564776925,0.4380437458135811,0.3350073078700486
chck_100M,43022,random_token_span,ALL,CminusV,2100,0.01041552724139283,5.844111092018318,5.833695564776925,0.17013587986873002,0.18055140711012463
chck_100M,43022,random_token_span,ALL,VminusC,2100,-0.01041552724139283,5.833695564776925,5.844111092018318,-0.17013587986873002,-0.18055140711012463
chck_100M,43022,random_token_span,ALL,VminusR,2100,0.10303643794353334,5.833695564776925,5.730659126833392,-0.4380437458135811,-0.3350073078700486
chck_80M,43122,ALL,1,RminusC,1600,0.5374665404508003,4.17592444326639,3.6384579028155897,-0.473750537366727,0.06371600308407288
