pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
rw2s0_029425,bnc_spoken,18,18,36,1.0,0.8461538461538461,0.9166666666666666,0.9166666666666666,,8
rw2s1_006381,simple_wiki,24,23,47,0.9583333333333334,0.8333333333333334,0.9090909090909091,0.9090909090909091,,18
rw2s1_002777,simple_wiki,18,15,33,0.8333333333333334,0.46153846153846156,0.6666666666666666,0.6666666666666666,,9
rw2s1_032441,simple_wiki,22,24,46,1.0909090909090908,0.375,0.6,0.6363636363636364,,7
rw2s1_001509,gutenberg,24,23,47,0.9583333333333334,0.2777777777777778,0.45454545454545453,0.45454545454545453,,4
rw2s0_012545,gutenberg,23,22,45,0.9565217391304348,0.8333333333333334,0.9090909090909091,0.9166666666666666,,10
rw2s1_007069,gutenberg,22,21,43,0.9545454545454546,0.5454545454545454,0.75,0.75,,6
rw2s0_032195,simple_wiki,19,18,37,0.9473684210526315,0.46153846153846156,0.6666666666666666,0.6666666666666666,,4
rw2s0_015377,open_subtitles,25,27,52,1.08,0.8,0.8888888888888888,0.9,,13
rw2s0_001767,simple_wiki,27,26,53,0.9629629629629629,0.6470588235294118,0.7857142857142857,0.7857142857142857,,9
rw2s1_019047,simple_wiki,24,28,52,1.1666666666666667,0.47368421052631576,0.6428571428571429,0.6428571428571429,,7
rw2s0_005218,gutenberg,26,26,52,1.0,0.19047619047619047,0.3333333333333333,0.3333333333333333,,2
rw2s1_015332,gutenberg,24,22,46,0.9166666666666666,0.5294117647058824,0.6923076923076923,0.6923076923076923,,8
rw2s0_009443,simple_wiki,25,23,48,0.92,0.8,0.8888888888888888,0.9,,11
rw2s0_020500,gutenberg,24,26,50,1.0833333333333333,0.4,0.6,0.5454545454545454,,7
rw2s0_017315,simple_wiki,21,21,42,1.0,0.5454545454545454,0.75,0.6666666666666666,,9
rw2s1_014529,gutenberg,33,36,69,1.0909090909090908,0.7222222222222222,0.8666666666666667,0.8823529411764706,,10
rw2s0_013229,gutenberg,35,30,65,0.8571428571428571,0.631578947368421,0.8,0.8,,14
rw2s0_022255,gutenberg,32,33,65,1.03125,0.6842105263157895,0.8125,0.8125,,23
rw2s1_028536,simple_wiki,30,25,55,0.8333333333333334,0.7222222222222222,0.8666666666666667,0.875,,11
rw2s1_026272,bnc_spoken,29,28,57,0.9655172413793104,0.9285714285714286,1.0,0.9285714285714286,,17
rw2s1_009437,gutenberg,52,37,89,0.7115384615384616,0.59375,0.7916666666666666,0.8,,6
rw2s1_007046,bnc_spoken,20,18,38,0.9,0.7142857142857143,0.8333333333333334,0.8333333333333334,,7
rw2s1_024732,simple_wiki,23,23,46,1.0,0.8461538461538461,0.9166666666666666,0.9166666666666666,,20
rw2s0_019881,simple_wiki,21,22,43,1.0476190476190477,0.6,0.75,0.75,,6
rw2s1_031048,simple_wiki,32,32,64,1.0,0.75,1.0,0.9090909090909091,,9
rw2s1_001298,simple_wiki,18,20,38,1.1111111111111112,0.5714285714285714,0.8,0.8181818181818182,,5
rw2s1_022947,gutenberg,34,26,60,0.7647058823529411,0.15789473684210525,0.3333333333333333,0.2727272727272727,,3
rw2s1_016826,simple_wiki,20,19,39,0.95,0.7777777777777778,0.875,0.9090909090909091,,10
rw2s1_032301,simple_wiki,20,19,39,0.95,0.6666666666666666,0.8,0.8,,9
rw2s1_002609,simple_wiki,20,19,39,0.95,0.8125,0.9285714285714286,0.9285714285714286,,10
rw2s0_008997,gutenberg,32,32,64,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,,18
rw2s0_030252,gutenberg,19,18,37,0.9473684210526315,0.4666666666666667,0.6363636363636364,0.6,,7
rw2s1_030768,bnc_spoken,27,27,54,1.0,0.8,0.8888888888888888,0.9,,18
rw2s1_003983,gutenberg,23,23,46,1.0,0.7,0.875,0.875,,15
rw2s1_001386,bnc_spoken,20,18,38,0.9,0.6428571428571429,0.8181818181818182,0.8181818181818182,,11
rw2s0_030784,gutenberg,54,39,93,0.7222222222222222,0.5294117647058824,0.75,0.7142857142857143,,7
rw2s0_023053,simple_wiki,18,19,37,1.0555555555555556,0.75,0.9,0.9,,9
rw2s0_031236,gutenberg,30,33,63,1.1,0.5833333333333334,0.7777777777777778,0.8,,22
rw2s1_007173,open_subtitles,24,23,47,0.9583333333333334,0.8,0.8888888888888888,0.8888888888888888,,22
